City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,dombarovskiy,50.7587,59.5386,30.65,16,79,6.74,RU,1689102947
279,fairbanks,64.8378,-147.7164,20.0,58,75,3.09,US,1689102786
280,port lincoln,-34.7333,135.8667,10.99,70,0,5.61,AU,1689102948
281,santiago,-33.4569,-70.6483,15.19,71,100,1.03,CL,1689102124
282,rodeo,38.033,-122.2669,32.92,59,0,3.6,US,1689102804
283,owando,-0.4819,15.8999,27.5,56,100,0.8,CG,1689102949
284,huambo,-12.7761,15.7392,12.33,28,0,2.22,AO,1689102950
285,moyale,3.5167,39.0584,22.64,52,65,3.24,KE,1689102950
286,half moon bay,37.4636,-122.4286,31.62,66,0,6.17,US,1689102914
287,balkhash,46.844,74.9804,25.39,44,0,4.09,KZ,1689102951
288,haines junction,60.7522,-137.5108,16.97,45,30,1.54,CA,1689102952
289,zlobin,45.2924,14.6541,22.61,57,0,1.03,HR,1689102952
290,korla,41.7597,86.1469,19.38,77,60,4.3,CN,1689102953
291,loughrea,53.1969,-8.5669,13.91,84,26,6.03,IE,1689102953
292,bilibino,68.0546,166.4372,13.64,70,14,0.79,RU,1689102954
293,port hardy,50.6996,-127.4199,14.1,82,75,2.06,CA,1689102955
294,sambava,-14.2667,50.1667,22.47,86,21,3.5,MG,1689102955
295,pisco,-13.7,-76.2167,22.03,73,20,4.12,PE,1689102956
296,abramovka,51.1886,41.0202,13.6,91,100,2.74,RU,1689102956
297,guerrero negro,27.9769,-114.0611,29.42,42,8,4.27,MX,1689102956
298,fortuna,40.5982,-124.1573,17.03,94,100,5.14,US,1689102957
299,kholodnyy,62.7167,147.95,10.63,53,14,1.68,RU,1689102957
300,vao,-22.6667,167.4833,19.68,57,5,6.74,NC,1689102958
301,vila franca do campo,37.7167,-25.4333,22.23,91,100,3.07,PT,1689102958
302,vizinga,61.0749,50.1031,13.69,97,100,5.1,RU,1689102959
303,vezirkopru,41.1436,35.4547,20.27,84,0,0.9,TR,1689102959
304,ormara,25.2088,64.6357,28.22,78,82,7.02,PK,1689102960
305,praia,14.9215,-23.5087,28.3,69,0,3.09,CV,1689102960
306,bethel,41.3712,-73.414,31.56,53,0,2.57,US,1689102849
307,temple,31.0982,-97.3428,39.25,35,0,3.6,US,1689102673
308,port blair,11.6667,92.75,26.02,89,75,1.03,IN,1689102961
309,beaumont,30.0861,-94.1019,36.02,53,40,4.63,US,1689102938
310,saldanha,-33.0117,17.9442,11.44,69,0,2.94,ZA,1689102962
311,kaitangata,-46.2817,169.8464,4.85,85,99,6.49,NZ,1689102963
312,fujin,47.26,132.0322,16.1,74,100,2.81,CN,1689102931
313,weyburn,49.6668,-103.8511,15.73,55,100,6.4,CA,1689102964
314,misasi,-3.0,33.0833,23.03,41,5,1.92,TZ,1689102964
315,geraldton,-28.7667,114.6,7.23,100,75,5.66,AU,1689102965
316,sao jose da coroa grande,-8.8978,-35.1478,25.63,80,5,5.37,BR,1689102757
317,berdigestyakh,62.0989,126.6992,17.3,98,100,2.52,RU,1689102966
318,cabedelo,-6.9811,-34.8339,27.37,79,1,6.54,BR,1689102966
319,melbu,68.5044,14.8297,17.88,82,0,1.54,NO,1689102967
320,tuatapere,-46.1333,167.6833,4.84,78,100,6.94,NZ,1689102967
321,namatanai,-3.6667,152.4333,25.61,89,100,3.2,PG,1689102968
322,aykino,62.2248,49.9922,13.73,75,92,6.65,RU,1689102969
323,ayagoz,47.9714,80.4392,20.01,53,93,3.05,KZ,1689102969
324,tuy hoa,13.0833,109.3,25.26,88,87,2.06,VN,1689102970
325,derzhavinsk,51.1,66.3167,27.22,25,0,3.85,KZ,1689102970
326,saint anthony,45.0205,-93.218,25.5,39,0,4.12,US,1689102971
327,caconde,-21.5294,-46.6439,28.03,29,37,1.57,BR,1689102971
328,kingsport,36.5484,-82.5618,31.31,41,40,3.6,US,1689102934
329,koster,-25.863,26.8976,5.43,28,0,2.86,ZA,1689102972
330,naze,28.3667,129.4833,26.51,85,93,4.79,JP,1689102973
331,le creusot,46.8071,4.4163,19.08,98,100,0.16,FR,1689102974
332,mitchelstown,52.2658,-8.2681,16.27,76,40,5.53,IE,1689102974
333,manggar,-2.8833,108.2667,26.77,76,18,4.35,ID,1689102975
334,teluknaga,-6.0989,106.6381,27.57,94,40,1.54,ID,1689102975
335,nantucket,41.2835,-70.0995,30.03,65,0,8.23,US,1689102788
336,show low,34.2542,-110.0298,32.27,27,40,2.06,US,1689102969
337,kidodi,-7.6036,37.0044,22.94,69,34,1.4,TZ,1689102976
338,challapata,-18.9,-66.7667,13.44,14,67,4.56,BO,1689102687
339,kizhinga,51.8462,109.9097,15.97,93,100,1.29,RU,1689102978
340,severouralsk,60.1533,59.952,12.24,97,71,1.85,RU,1689102978
341,bol,13.4586,14.7147,29.7,59,77,6.12,TD,1689102979
342,esperance,-33.8667,121.9,12.51,73,0,6.93,AU,1689102979
343,kumluca,36.3703,30.2869,27.75,43,0,3.33,TR,1689102979
344,magole,-6.3667,37.3667,23.83,65,100,1.55,TZ,1689102980
345,palmer,42.1584,-72.3287,31.46,51,40,3.09,US,1689102804
346,santiago de cao,-7.9589,-79.2392,23.07,78,100,4.12,PE,1689102981
347,carmo do rio verde,-15.3536,-49.7075,32.73,20,3,2.88,BR,1689102982
348,lodja,-3.4833,23.4333,26.12,46,73,0.67,CD,1689102982
349,sao luiz gonzaga,-28.4083,-54.9608,15.1,93,100,5.41,BR,1689102983
350,araxa,-19.5933,-46.9406,27.98,26,20,3.09,BR,1689102920
351,uglegorsk,49.0833,142.0333,14.5,86,100,2.29,RU,1689102984
352,kenai,60.5544,-151.2583,12.05,98,100,4.63,US,1689102985
353,brae,60.3964,-1.353,14.49,85,67,3.35,GB,1689102985
354,college,64.8569,-147.8028,19.99,54,75,3.09,US,1689102986
